comida,hora,alimento,cantidad,unidad,kcal,proteinas_g,carbohidratos_g,grasas_g,fibra_g,notas
Desayuno,07:30,Huevo,2.0,unit,140.0,12.0,1.0,10.0,0.0,Ligero pre-entreno
Desayuno,07:30,Pan integral (rebanada 50 g),1.0,slice,120.0,4.0,20.0,2.0,3.0,
Desayuno,07:30,Naranja,1.0,unit,62.0,1.2,15.4,0.2,3.1,
Post-entreno mañana,09:45,Proteína aislada (whey) sin lactosa,22.2,g polvo,86.0,20.0,0.9,0.27,0.0,Aislado sin lactosa
Post-entreno mañana,09:45,Creatina monohidratada,5.0,g,0.0,0.0,0.0,0.0,0.0,Post-entreno
Post-entreno mañana,09:45,Avena (en batido),40.0,g,152.0,5.2,25.2,2.8,4.0,Añadir al batido
Post-entreno mañana,09:45,Leche de almendra sin azúcar,250.0,ml,32.5,1.2,0.8,2.8,0.5,
Comida,14:00,Ternera magra (filete),185.0,g,345.9,48.1,0.0,16.7,0.0,
Comida,14:00,Arroz integral cocido,300.0,g,333.0,7.8,69.0,2.7,5.4,
Comida,14:00,Brócoli cocido,150.0,g,52.5,3.6,10.5,0.6,4.9,Sin cebolla
Comida,14:00,Zanahoria,120.0,g,49.2,1.1,12.0,0.2,3.4,Sin cebolla
Comida,14:00,Aceite de oliva virgen extra,10.0,g,90.0,0.0,0.0,10.0,0.0,Aliño/cocción
Merienda,17:30,Yogur sin lactosa,200.0,g,120.0,10.0,10.0,3.0,0.0,
Merienda,17:30,Almendras,30.0,g,174.0,6.0,6.0,15.0,3.5,
Merienda,17:30,Pera,1.0,unit,101.0,0.6,27.0,0.3,5.5,
Post-cardio tarde,19:30,Proteína aislada (whey) sin lactosa,16.7,g polvo,64.5,15.0,0.7,0.2,0.0,Aislado sin lactosa
Post-cardio tarde,19:30,Creatina monohidratada,5.0,g,0.0,0.0,0.0,0.0,0.0,Post-entreno
Post-cardio tarde,19:30,Avena (en batido),30.0,g,114.0,3.9,18.9,2.1,3.0,Añadir al batido
Post-cardio tarde,19:30,Leche de almendra sin azúcar,200.0,ml,26.0,1.0,0.6,2.2,0.4,
Comida,21:30,Bonito,210.0,g,302.4,48.3,0.0,10.5,0.0,
Comida,21:30,Pasta integral cocida,240.0,g,297.6,12.0,60.0,1.9,7.2,
Comida,21:30,Espinaca cocida,150.0,g,34.5,4.5,5.7,0.4,3.6,Sin cebolla
Comida,21:30,Calabacín,150.0,g,25.5,1.8,4.7,0.4,1.5,Sin cebolla
Comida,21:30,Aceite de oliva virgen extra,10.0,g,90.0,0.0,0.0,10.0,0.0,Aliño/cocción
TOTAL,,—,,,2812.6,207.3,288.4,94.3,49.0,
