comida,hora,alimento,cantidad,unidad,kcal,proteinas_g,carbohidratos_g,grasas_g,fibra_g,notas
Desayuno,07:30,Huevo,2.0,unit,140.0,12.0,1.0,10.0,0.0,Ligero pre-entreno
Desayuno,07:30,Pan integral (rebanada 50 g),1.0,slice,120.0,4.0,20.0,2.0,3.0,
Desayuno,07:30,Manzana,1.0,unit,95.0,0.5,25.0,0.3,4.4,
Post-entreno mañana,09:45,Proteína aislada (whey) sin lactosa,38.9,g polvo,150.4,35.0,1.6,0.47,0.0,Aislado sin lactosa
Post-entreno mañana,09:45,Avena (en batido),45.0,g,171.0,5.9,28.4,3.1,4.5,Añadir al batido
Post-entreno mañana,09:45,Leche de almendra sin azúcar,300.0,ml,39.0,1.5,0.9,3.3,0.6,
Post-entreno mañana,09:45,Creatina monohidratada,5.0,g,0.0,0.0,0.0,0.0,0.0,Diaria (AM)
Comida,14:00,Ternera magra (filete),170.0,g,317.9,44.2,0.0,15.3,0.0,
Comida,14:00,Pasta integral (en crudo),110.0,g (en crudo),38500.0,1430.0,7700.0,275.0,880.0,
Comida,14:00,Calabacín,150.0,g,25.5,1.8,4.7,0.4,1.5,Sin cebolla
Comida,14:00,Champiñón,150.0,g,33.0,4.7,4.9,0.4,1.5,Sin cebolla
Comida,14:00,Aceite de oliva virgen extra,10.0,g,90.0,0.0,0.0,10.0,0.0,Aliño/cocción
Merienda,17:30,Pan integral (rebanada 50 g),2.0,slice,240.0,8.0,40.0,4.0,6.0,Bocadillo
Merienda,17:30,Pechuga de pavo (fiambre magro),80.0,g,128.0,23.2,0.0,2.4,0.0,Equivalente fiambre magro
Merienda,17:30,Aguacate,50.0,g,80.0,1.0,4.5,7.5,3.5,Untado
Post-cardio tarde,19:30,Proteína aislada (whey) sin lactosa,22.2,g polvo,86.0,20.0,0.9,0.27,0.0,Aislado sin lactosa
Post-cardio tarde,19:30,Avena (en batido),35.0,g,133.0,4.5,22.0,2.4,3.5,Añadir al batido
Post-cardio tarde,19:30,Leche de almendra sin azúcar,250.0,ml,32.5,1.2,0.8,2.8,0.5,
Comida,21:30,Salmón,170.0,g,353.6,34.0,0.0,22.1,0.0,
Comida,21:30,Batata (en crudo),260.0,g (en crudo),22360.0,416.0,5226.0,26.0,780.0,
Comida,21:30,Brócoli cocido,200.0,g,70.0,4.8,14.0,0.8,6.6,Sin cebolla
Comida,21:30,Aceite de oliva virgen extra,10.0,g,90.0,0.0,0.0,10.0,0.0,Aliño/cocción
TOTAL,,—,,,63254.9,2052.3,13094.7,398.5,1695.6,
