Comida,Alimento,Cantidad,Proteínas,Grasas,Carbs,Fibra,Calorías
Desayuno,Huevos escalfados,2 huevos,12g,10g,1g,0g,140
(1-1.5h pre-cardio),Jamón de york sin grasa,30g,10g,2g,1g,0g,51
,Chorizo ibérico,12g,3g,4g,0g,0g,51
,Pan integral de centeno,20g,2g,1g,14g,2g,66
,Aguacate,25g,1g,4g,1g,1g,40
SUBTOTAL DESAYUNO,,,,28g,21g,17g,3g,348
Post-cardio,Proteína de suero,35g,30g,1g,2g,0g,134
,Yogur griego 0% grasa,70g,7g,0g,5g,0g,48
,Sandía,80g,1g,0g,6g,0g,22
,Creatina,6g,0g,0g,0g,0g,0
SUBTOTAL POST-CARDIO,,,,38g,1g,13g,0g,204
Almuerzo,Chuletón de buey,100g,24g,5g,0g,0g,129
,Atún en lata,70g (agua),20g,1g,0g,0g,87
,Arroz integral,25g (crudo),2g,1g,19g,1g,95
,Pimientos del padrón,80g,2g,0g,3g,2g,20
,Aceite oliva,1ml,0g,1g,0g,0g,9
SUBTOTAL ALMUERZO,,,,48g,8g,22g,3g,340
Merienda,Yogur natural desnatado,100g,4g,0g,6g,0g,42
,Semillas de chía,4g,1g,1g,1g,1g,20
,Mejillones en lata,90g (agua),20g,1g,4g,0g,113
,Lomo de sajonia,30g,7g,2g,1g,0g,47
,Pechuga de pavo,40g,12g,1g,0g,0g,52
SUBTOTAL MERIENDA,,,,44g,5g,12g,1g,274
Cena,Lubina,120g,23g,1g,0g,0g,100
,Pechuga de pollo,50g,12g,2g,0g,0g,66
,Garbanzos cocidos,30g,2g,1g,6g,2g,38
,Rúcula,70g,2g,1g,2g,2g,18
,Aceitunas manzanilla,3 unidades,0g,1g,1g,1g,15
SUBTOTAL CENA,,,,39g,6g,9g,5g,237
TOTALES SÁBADO,,,,197g,41g,73g,12g,1403
