comida,hora,alimento,cantidad,unidad,kcal,proteinas_g,carbohidratos_g,grasas_g,fibra_g,notas
Desayuno,07:00,Huevos revueltos (2 enteros),2,unit,140,12,1,10,0,Yema blanda
Desayuno,07:00,Pan integral (rebanada),1,slice,80,4,14,1,2,
Desayuno,07:00,Cafe con leche de cabra,150,ml,45,3,4,2,0,
Batido post-entreno,10:00,Whey protein (1 scoop),30,g,116.7,24,2,1.4,0,
Batido post-entreno,10:00,Crema de arroz,40,g,146.8,2.8,33.2,0.4,0.4,
Batido post-entreno,10:00,Salvado de trigo integral,6,g,13,1,1.5,0.5,2.5,Por diverticulos
Batido post-entreno,10:00,Platano,1,unit,105,1.3,27,0.4,3.1,
Comida,13:00,Tortilla de huevos (3 huevos),3,unit,210,18,1.5,15,0,
Comida,13:00,Ensalada mixta grande,200,g,38,2.4,6,0.6,3,Sin cebolla
Comida,13:00,Pavo en lonchas,80,g,84,16.8,0.8,1.2,0,Extra proteina
Comida,13:00,Arroz blanco cocido,190,g,247,5.1,53.6,0.6,0.8,Porcion aumentada
Comida,13:00,AOVE,5,ml,44.2,0,0,5,0,
Snack tarde,18:00,Yogur vegetal natural Danone,125,g,83,4.6,9.4,2.6,1.1,Danone
Snack tarde,18:00,Whey protein (1 scoop),30,g,116.7,24,2,1.4,0,Redistribuido del batido
Snack tarde,18:00,Anacardos,25,g,138.3,4.6,7.6,11,0.8,
Snack tarde,18:00,Melocoton,1,unit,58,1,14,0.4,2,
Cena,20:30,Lomo de cerdo plancha,170,g,243.1,45.9,0,5.1,0,
Cena,20:30,Patata al horno,220,g,169.4,4.4,37.4,0.2,4.8,Porcion aumentada
Cena,20:30,Ensalada (lechuga tomate pepino),150,g,25.5,1.5,4.1,0.5,2,Sin cebolla
Cena,20:30,AOVE,5,ml,44.2,0,0,5,0,
TOTAL,,—,,,2145,176,211.5,68.4,22.3,Dia de descanso
