comida,hora,alimento,cantidad,unidad,kcal,proteinas_g,carbohidratos_g,grasas_g,fibra_g,notas
Desayuno,07:00,Huevos revueltos (2 enteros),2,unit,140,12,1,10,0,Yema blanda
Desayuno,07:00,Pan integral (rebanada),1,slice,80,4,14,1,2,
Desayuno,07:00,Cafe con leche de cabra,150,ml,45,3,4,2,0,
Batido post-entreno,10:00,Whey protein (1 scoop),30,g,116.7,24,2,1.4,0,
Batido post-entreno,10:00,Crema de arroz,40,g,146.8,2.8,33.2,0.4,0.4,
Batido post-entreno,10:00,Salvado de trigo integral,6,g,13,1,1.5,0.5,2.5,Por diverticulos
Batido post-entreno,10:00,Platano,1,unit,105,1.3,27,0.4,3.1,
Comida,13:00,Lentejas cocidas con verduras,240,g,278.4,21.6,48,1,19,Con calabacin y pimiento
Comida,13:00,Pechuga de pollo plancha,80,g,132,24.8,0,2.9,0,Complemento proteico
Comida,13:00,Calabacin,100,g,17,1.2,3.1,0.3,1,
Comida,13:00,Zanahoria,80,g,32.8,0.7,8,0.2,2.2,
Comida,13:00,Pimiento rojo,80,g,24.8,0.8,4.8,0.2,1.7,
Comida,13:00,Arroz blanco cocido,64,g,83.2,1.7,18,0.2,0.3,Acompanamiento
Comida,13:00,AOVE,8,ml,70.7,0,0,8,0,
Snack tarde,18:00,Yogur vegetal natural Danone,125,g,83,4.6,9.4,2.6,1.1,Danone
Snack tarde,18:00,Whey protein (1 scoop),30,g,116.7,24,2,1.4,0,Redistribuido del batido
Snack tarde,18:00,Anacardos,21,g,116.1,3.8,6.3,9.2,0.7,
Snack tarde,18:00,Naranja,1,unit,65,1,16,0.2,3.3,
Snack tarde,18:00,Pavo en lonchas,120,g,126,25.2,1.2,1.8,0,
Cena,20:30,Atun plancha,190,g,247,55.1,0,1.1,0,Fresco
Cena,20:30,Patata al horno,230,g,177.1,4.6,39.1,0.2,5.1,Porcion aumentada
Cena,20:30,Ensalada (espinacas tomate pepino),150,g,28.5,2.3,4.1,0.5,2,Sin cebolla
Cena,20:30,AOVE,7,ml,61.9,0,0,7,0,
TOTAL,,—,,,2306.7,219.5,242.7,52.5,44.4,Dia sin cardio
