comida,hora,alimento,cantidad,unidad,kcal,proteinas_g,carbohidratos_g,grasas_g,fibra_g,notas
Desayuno,07:00,Huevos revueltos (3 enteros),3,unit,210,18.0,1.5,15.0,0.0,Yema blanda
Desayuno,07:00,Pan integral (rebanada),1,slice,80,4.0,14.0,1.0,2.0,
Desayuno,07:00,Cafe con leche de cabra,150,ml,45,3.0,4.0,2.0,0.0,150ml leche de cabra entera
Batido post-entreno,10:00,Whey protein (1 scoop),30,g,117,24.0,2.0,1.4,0.0,
Batido post-entreno,10:00,Salvado de trigo integral,6,g,13,1.0,1.5,0.5,2.5,Por diverticulos
Batido post-entreno,10:00,Platano,1,unit,105,1.3,27.0,0.4,3.1,
Comida,13:00,Pechuga de pavo plancha,230,g,253,50.6,0.0,3.5,0.0,Pesar crudo. Subido de 200g por compensacion proteica
Comida,13:00,Pasta integral,55,g,191,7.3,35.0,1.3,4.4,Pesar en crudo
Comida,13:00,Calabacin a la plancha,200,g,34,2.4,6.2,0.6,2.0,Sin aceite
Snack pre-cardio,16:30,Yogur vegetal natural Danone,125,g,83,4.6,9.4,2.6,1.1,Danone vegetal natural
Snack pre-cardio,16:30,Whey protein (1 scoop),30,g,117,24.0,2.0,1.4,0.0,
Snack pre-cardio,16:30,Nueces,16,g,105,2.4,2.2,10.4,1.1,Pesar exacto en bascula
Snack pre-cardio,16:30,Kiwi,1,unit,46,0.8,11.0,0.4,2.3,
Cena,20:30,Ternera a la plancha,160,g,240,41.6,0.0,8.0,0.0,Pesar crudo. Filete fino
Cena,20:30,Patata al horno,150,g,116,3.0,25.5,0.2,3.3,Pesar cruda
Cena,20:30,Judias verdes al vapor,200,g,62,3.6,14.0,0.4,6.8,Sin aceite
Cena,20:30,Ensalada (lechuga tomate pepino),150,g,26,1.5,4.1,0.4,2.0,Sin cebolla sin aliño. Sal marina 1.5g.
Cena,20:30,Aguacate,30,g,48,0.6,2.7,4.5,2.0,Sustituye AOVE para cubrir grasas
TOTAL,,—,,,1890,193.7,162.1,54.4,32.6,Push+LISS. Sin AOVE. Aguacate 30g cubre grasas. Sin post-cardio (eliminada). 5 comidas. Nueces sustituyen anacardos.
