Comida,Alimento,Cantidad,Proteínas,Grasas,Carbs,Fibra,Calorías
Desayuno,Huevos revueltos,2 huevos,12g,10g,1g,0g,140
Desayuno,Pan integral tostado,25g,2g,1g,17g,2g,86
Desayuno,Pechuga pavo,40g,12g,1g,0g,0g,52
Desayuno,Aguacate,60g,3g,9g,3g,3g,96
SUBTOTAL DESAYUNO,,,29g,21g,21g,5g,374
Post-entreno,Proteína de suero,35g,30g,1g,2g,0g,134
Post-entreno,Avena,40g,5g,3g,24g,3g,144
Post-entreno,Creatina,6g,0g,0g,0g,0g,0
SUBTOTAL POST-ENTRENO,,,35g,4g,26g,3g,278
Almuerzo,Pechuga pavo,100g,30g,2g,0g,0g,134
Almuerzo,Atún en lata,60g (agua),17g,1g,0g,0g,75
Almuerzo,Arroz salvaje,60g (crudo),5g,2g,46g,5g,228
Almuerzo,Judías verdes,120g,2g,0g,5g,3g,26
SUBTOTAL ALMUERZO,,,54g,5g,51g,8g,463
Merienda,Queso fresco sin lactosa,80g,10g,2g,1g,0g,61
Merienda,Semillas de lino,4g,1g,1g,1g,1g,17
Merienda,Moras,60g,1g,0g,7g,4g,32
Merienda,Atún en lata,100g (agua),29g,1g,0g,0g,123
Merienda,Jamón serrano,30g,9g,3g,0g,0g,63
SUBTOTAL MERIENDA,,,50g,7g,9g,5g,296
Cena,Pechuga de pollo,150g,34g,5g,0g,0g,165
Cena,Patata dulce,230g,3g,0g,37g,6g,170
Cena,Col lombarda,100g,2g,0g,4g,2g,23
Cena,Aceitunas,3 unidades,0g,1g,1g,1g,15
Cena,Aceite de oliva,5g,0g,5g,0g,0g,45
SUBTOTAL CENA,,,39g,11g,42g,9g,418
TOTALES LUNES,,,207g,48g,149g,30g,1829
